ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
230,Society of Women Engineers,Academic Major Related,http://swesdsu.org,The purpose of this organization is to support the women of the College of Engineering socially and academically and to ensure their success in this demanding field.,"Once biweekly, Thursdays, 12:00 PM - 1:00 PM",Student Union
232,Student Accounting Society,Academic Major Related,http://sas.sdsu.edu,"Our objective is to assist accounting students in becoming better informed about the accounting profession, introduce them to the opportunities available in the private and public industries, coordinate events with professionals that will help guide them on their career path, and help them take that first step into their chosen profession.  Our Goals Specifically Include:  Promoting interaction between students, faculty, and professionals through educational workshops, community service, and social events. Encouraging student involvement, leadership, and excellence in both SAS and SDSU. Providing members with a forum to learn about the different careers in the accounting field. Assisting students in reaching their academic and professional goals by offering workshops, industry guest speakers, and networking opportunities.",Mondays @ 12pm,Park Boulevard
233,Student African American Brotherhood (SAAB),Cultural,http://www.saabnational.org/,"For the recruitment and retention of African American males at SDSU; providing a space for brothers to build networks, gain mentorship, participate in workshops, and build resources.",Friday 4:00pm - 5:00pm,Metzli Suite
234,Student African American Sisterhood (SAAS),Cultural,,"The purpose of SAAS is to serve as a body for women of the African Diaspora that are recognized by San Diego State University. This organization brings together women who are interested in promoting the conscious issues that women of African descent are subject to encounter. Additionally, our purpose is to cultivate, develop and enhance our members through strengthening their leadership skills and providing services to the surrounding community.",Thursdays 3-4:30 pm,Mata'yuum in the Aztec Student Union
237,Student California Teachers Association (SCTA),Academic Major Related,,"SCTA seeks to advance the interests of all students pursuing a career in education throughout the University, to promote student participation and involvement in their desired  profession, to organize social, cultural, and academic activities and/or programs to support said participation, and to provide assistance, support, and information for all students pursuing education-related careers.",Bi-weekly Mondays 2:30-3:30,Union Legacy Suite
238,Student Nutrition Organization,Academic Major Related,http://www.snosdsu.org/,"The purpose of this organization is to serve the San Diego community through nutrition education, nutrition and wellness advocacy, and nutrition-related philanthropy, as well as to provide its student members with practical field experiences, community involvement, and understanding of the diverse opportunities in nutrition.","Tuesdays Biweekly, 11am",TBD
243,Students for Public Health at SDSU,Academic Major Related,https://www.students4publichealth.org/,"The purpose of this organization is to improve public health, promote individual well-being, and eliminate health disparities across San Diego and around the world.  This organization also seeks to educate students on current public health issues and is a way for students to become involved within the community.",Wednesday Bi-Weekly (2:00pm-3:00pm),Mata'yuum
247,Tau Beta Pi CAX,Academic Major Related,http://engineering.sdsu.edu/taubetapi/,"The purpose of this organization shall be, to mark in a fitting manner those who have conferred honor upon their alma mater by distinguished scholarship and exemplary character as undergraduates in the field of engineering, or by their attainments as alumni in the field of engineering, and to foster a spirit of liberal culture in the engineering colleges",,
252,Student Academy of Audiology (SAA),Academic Major Related,http://saasandiego.wixsite.com/saasandiego,Promote audiology in the public and student professional growth in the field.,Varies,Varies
254,V-Day SDSU,Service & Support,https://vdaysdsu.wixsite.com/home,"The purpose of this organization is to increase the awareness of women, trans, and gender non-conforming issues and to provide a brave space for women and allies to communicate and support one another on their experiences, while raising money for an annual beneficiary that is selected by the current officers. Funds are raised through our annual production of Raise The Vibration, a student written and produced show influenced by Eve Ensler's The Vagina Monologues.",Mondays @ 7:30 pm,Legacy Suite
